,2,LUMIA 102,50002,1,45000,45000
,4,TOASTER,50004,1,5000,5000
,10,MODEM,50010,1,5000,5000
,1,GALAXY S5,50001,1,50000,50000
,2,LUMIA 102,50002,1,45000,45000
,2,LUMIA 102,50002,1,45000,45000


,,,,,,,TOTAL:195000
------------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------
,ID,TITLE,BARCODE,QUANTITY,RATE,PRICE
,1,GALAXY S5,50001,1,50000,50000
,5,LAPTOP,50005,3,50000,150000


,,,,,,,TOTAL:200000
------------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------
,ID,TITLE,BARCODE,QUANTITY,RATE,PRICE
