------------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------
,ID,TITLE,BARCODE,QUANTITY,RATE,PRICE
,1,GALAXY S5,50001,1,50000,50000


,,,,,,,TOTAL:50000
------------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------
,ID,TITLE,BARCODE,QUANTITY,RATE,PRICE
,5,LAPTOP,50005,1,50000,50000


,,,,,,,TOTAL:50000
------------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------
,ID,TITLE,BARCODE,QUANTITY,RATE,PRICE
,1000,CRICKET BAT,60001,1,1000,1000


,,,,,,,TOTAL:1000
------------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------
,ID,TITLE,BARCODE,QUANTITY,RATE,PRICE
,1,GALAXY S5,50001,1,50000,50000
,2,LUMIA 102,50002,1,45000,45000
,3,SMART TV,50003,1,60000,60000
,1001,BASKET BALL,60002,1,2000,2000


,,,,,,,TOTAL:157000
------------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------,-----------
,ID,TITLE,BARCODE,QUANTITY,RATE,PRICE
